item1,item2,n,correlation
recette,NA,539,0.4627139291638635
NA,recette,539,0.4627139291638635
mettre,recette,473,0.49465000805975357
recette,mettre,473,0.49465000805975357
recette,faire,465,0.5021351579044839
faire,recette,465,0.5021351579044839
NA,faire,443,0.3977194837201876
faire,NA,443,0.3977194837201876
mettre,NA,440,0.4758317713839247
NA,mettre,440,0.4758317713839247
recette,bon,434,0.6057624255682884
bon,recette,434,0.6057624255682884
sucre,recette,398,0.38053501656445465
recette,sucre,398,0.38053501656445465
recette,délicieux,396,0.4142023693533247
délicieux,recette,396,0.4142023693533247
mettre,faire,394,0.3908544836615233
faire,mettre,394,0.3908544836615233
bon,NA,379,0.26440831258342873
NA,bon,379,0.26440831258342873
NA,délicieux,374,0.31264014421559083
délicieux,NA,374,0.31264014421559083
sucre,NA,372,0.28282104240484546
NA,sucre,372,0.28282104240484546
recette,refaire,371,0.4016026797092119
refaire,recette,371,0.4016026797092119
recette,super,361,0.4727664332188087
super,recette,361,0.4727664332188087
exceller,recette,357,0.3494182373095627
recette,exceller,357,0.3494182373095627
faire,délicieux,351,0.3978124069929917
délicieux,faire,351,0.3978124069929917
goût,recette,351,0.32188363048764124
recette,goût,351,0.32188363048764124
mettre,bon,350,0.370545363210409
facile,recette,350,0.44513085292643373
recette,facile,350,0.44513085292643373
bon,mettre,350,0.370545363210409
refaire,NA,346,0.27884796785029636
NA,refaire,346,0.27884796785029636
sucre,mettre,346,0.5066970658490616
mettre,sucre,346,0.5066970658490616
mettre,délicieux,339,0.3975880172021161
délicieux,mettre,339,0.3975880172021161
bon,faire,335,0.37578354818477927
super,NA,335,0.2981134700122493
exceller,NA,335,0.2610698523902655
faire,bon,335,0.37578354818477927
NA,super,335,0.2981134700122493
NA,exceller,335,0.2610698523902655
refaire,faire,333,0.407214416408602
faire,refaire,333,0.407214416408602
recette,petit,332,0.39976170830607727
petit,recette,332,0.39976170830607727
petit,NA,329,0.33706695505053513
facile,NA,329,0.2559873288601841
NA,petit,329,0.33706695505053513
NA,facile,329,0.2559873288601841
facile,faire,328,0.5242141594555901
faire,facile,328,0.5242141594555901
sucre,faire,327,0.2729931358864765
goût,NA,327,0.41506359942873594
faire,sucre,327,0.2729931358864765
NA,goût,327,0.41506359942873594
ajouter,recette,326,0.3646557265103715
recette,ajouter,326,0.3646557265103715
mettre,refaire,314,0.42237077771416076
refaire,mettre,314,0.42237077771416076
adorer,recette,308,0.45787354294980975
recette,adorer,308,0.45787354294980975
exceller,faire,305,0.2900777751929708
ajouter,NA,305,0.2608050104693187
faire,exceller,305,0.2900777751929708
NA,ajouter,305,0.2608050104693187
mettre,exceller,304,0.3753365539431638
exceller,mettre,304,0.3753365539431638
super,faire,302,0.4227931849205531
faire,super,302,0.4227931849205531
mettre,super,302,0.29928871219926895
super,mettre,302,0.29928871219926895
mettre,facile,300,0.28443555233070267
facile,mettre,300,0.28443555233070267
goût,faire,298,0.3119345115375969
faire,goût,298,0.3119345115375969
goût,mettre,295,0.39848360744169625
mettre,goût,295,0.39848360744169625
parfaire,recette,294,0.47006403643732336
recette,parfaire,294,0.47006403643732336
adorer,NA,292,0.27446667194185087
NA,adorer,292,0.27446667194185087
sucre,délicieux,291,0.33297644353009537
sucre,bon,291,0.29623156892821123
délicieux,sucre,291,0.33297644353009537
bon,sucre,291,0.29623156892821123
parfaire,NA,285,0.2378344248569337
NA,parfaire,285,0.2378344248569337
bon,délicieux,283,0.24175282977067833
mettre,petit,283,0.3610801651289458
délicieux,bon,283,0.24175282977067833
petit,mettre,283,0.3610801651289458
ajouter,mettre,282,0.40133714181073643
mettre,ajouter,282,0.40133714181073643
petit,faire,280,0.36789605637400774
faire,petit,280,0.36789605637400774
cuisson,recette,280,0.35746968890699504
