url,recette,quantites,ingredients
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,125, g de biscuit sablé
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,400, g de fraise
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,250, g de mascarpone
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,100, g de sucre glace
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,20, cl de crème liquide
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,25, cl de crème anglaise
http://www.marmiton.org/recettes/recette_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,verrines aux fraises mascarpone et crème anglaise,6, cuillère à café de noix de coco rapée
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,4, oeuf
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,120, g de sucre
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,120, g de farine
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,50, cl de lait
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,1, gousse de vanille
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,4, oeuf
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,100, g de sucre
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,50, g de farine
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,250, g de beurre
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,500, g de fraise
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,250, g de framboise
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,25, cl d'eau
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,,Sucre
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,4, feuille de gélatine
http://www.marmiton.org/recettes/recette_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,,Fruits rouges
http://www.marmiton.org/recettes/recette_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,250, g de fruits rouges
http://www.marmiton.org/recettes/recette_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,2, oeuf
http://www.marmiton.org/recettes/recette_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,50, g de sucre
http://www.marmiton.org/recettes/recette_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,5, cl de crème fraîche
http://www.marmiton.org/recettes/recette_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,1, pincée de sel
http://www.marmiton.org/recettes/recette_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,500, g de crème de marron
http://www.marmiton.org/recettes/recette_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,2, oeuf
http://www.marmiton.org/recettes/recette_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,3, cuillère à café de fécule
http://www.marmiton.org/recettes/recette_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,10, cl de crème
http://www.marmiton.org/recettes/recette_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,250, g de beurre
http://www.marmiton.org/recettes/recette_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,125, g de sucre glace
http://www.marmiton.org/recettes/recette_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,650, g de farine
http://www.marmiton.org/recettes/recette_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,1, oeuf
http://www.marmiton.org/recettes/recette_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,,Confiture
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,85, g de farine
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,135, g de mûre
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,10, g de beurre
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,2, oeuf
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,35, g de sucre
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,20, cl de lait
http://www.marmiton.org/recettes/recette_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,1, pincée de sel
http://www.marmiton.org/recettes/recette_mini-crumble-aux-pommes_335455.aspx,Mini crumble aux pommes,150, g de sucre
http://www.marmiton.org/recettes/recette_mini-crumble-aux-pommes_335455.aspx,Mini crumble aux pommes,150, g de farine
http://www.marmiton.org/recettes/recette_mini-crumble-aux-pommes_335455.aspx,Mini crumble aux pommes,125, g de beurre
http://www.marmiton.org/recettes/recette_mini-crumble-aux-pommes_335455.aspx,Mini crumble aux pommes,1, sachet de sucre vanillé
http://www.marmiton.org/recettes/recette_mini-crumble-aux-pommes_335455.aspx,Mini crumble aux pommes,1, pomme
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,25, cl de lait
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,100, g de beurre
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,125, g de farine de blé
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,75, g de sucre
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,1, sachet de sucre vanillé
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,4, oeuf
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,2, cuillère à soupe de crème fraîche
http://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,Galette des Rois Franc-Comtoise des Cantoches,2, cuillère à soupe d'eau de fleur d'oranger
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,5, poire
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,175, g de sucre
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,120, g de beurre
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,2, cuillère à soupe de cannelle
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,150, g de farine
http://www.marmiton.org/recettes/recette_crumble-a-la-poire_29096.aspx,crumble à la poire,,Citron
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,100, g de chocolat
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,3, cuillère à soupe de lait
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,2, cuillère à soupe de sucre
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,2, oeuf
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,2, cuillère à soupe de purée
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,2, cuillère à soupe de poudre de noisette
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,1/2, cuillère à café de levure
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,1, boule de glace vanille
http://www.marmiton.org/recettes/recette_bowl-cake-moelleux-chocolat-noisettes_347676.aspx,Bowl cake moelleux chocolat noisettes,1, pincée de pralin
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,250, g de sucre
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,100, g de farine
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,1, pincée de sel
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,10, blanc d'oeuf
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,1, cuillère à café de crème
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,1/2, cuillère à café de vanille
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,1/2, cuillère à café d'extrait d'amande
http://www.marmiton.org/recettes/recette_angel-food-cake_38335.aspx,Angel food cake,1, cuillère à soupe de jus de citron
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,250, g de farine
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,100, g de cassonade
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,100, g de sucre en poudre
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,1, sachet de sucre vanillé
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,100, g de beurre
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,1, oeuf
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,1/2, sachet de levure
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,2, cuillère à soupe de cacao amer
http://www.marmiton.org/recettes/recette_petits-biscuits-au-chocolat-fondant_61097.aspx,Petits biscuits au chocolat fondant,200, g de chocolat
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,600, g d'abricot
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,5, oeuf
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,50, g de sucre semoule
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,20, cl de crème fleurette
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,10, cl de lait
http://www.marmiton.org/recettes/recette_flan-aux-abricots_14362.aspx,Flan aux abricots,,Amande
http://www.marmiton.org/recettes/recette_soupe-de-pasteque-a-la-menthe_40217.aspx,Soupe de pastèque à la menthe,1, pastèque
http://www.marmiton.org/recettes/recette_soupe-de-pasteque-a-la-menthe_40217.aspx,Soupe de pastèque à la menthe,7, cl de sirop
http://www.marmiton.org/recettes/recette_soupe-de-pasteque-a-la-menthe_40217.aspx,Soupe de pastèque à la menthe,10, feuille de menthe
http://www.marmiton.org/recettes/recette_pomme-d-amour_10554.aspx,Pomme d'amour,2, pomme
http://www.marmiton.org/recettes/recette_pomme-d-amour_10554.aspx,Pomme d'amour,70, g de sucre
http://www.marmiton.org/recettes/recette_pomme-d-amour_10554.aspx,Pomme d'amour,10, cl d'eau
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,400, g de macédoine
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,150, g de beurre
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,125, g de sucre
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,3, oeuf
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,1, zeste de citron
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,1, sachet de levure
http://www.marmiton.org/recettes/recette_gateau-facile-aux-fruits-au-sirop_28897.aspx,gâteau facile aux fruits au sirop,200, g de farine
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,40, cl de crème
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,10, cl de lait
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,70, g de chocolat blanc
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,30, g de sucre semoule
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,1, sachet d'agar-agar
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,1, petit verre de liqueur
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,150, g de chocolat
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,1/2, l de café
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,30, g de sucre semoule
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,2, sachet de sucre vanillé
http://www.marmiton.org/recettes/recette_panna-cotta-chocolat-blanc-et-gelee-chocolat-noir_304644.aspx,Panna cotta chocolat blanc et gelée chocolat noir,1/2, sachet d'agar-agar
http://www.marmiton.org/recettes/recette_pate-sablee-croustillante_73969.aspx,Pâte sablée croustillante,100, g de sucre
http://www.marmiton.org/recettes/recette_pate-sablee-croustillante_73969.aspx,Pâte sablée croustillante,125, g de beurre
http://www.marmiton.org/recettes/recette_pate-sablee-croustillante_73969.aspx,Pâte sablée croustillante,200, g de farine
http://www.marmiton.org/recettes/recette_pate-sablee-croustillante_73969.aspx,Pâte sablée croustillante,1, oeuf
http://www.marmiton.org/recettes/recette_creme-au-chocolat-facon-bechamel_41027.aspx,Crème au chocolat façon béchamel,1, l de lait
http://www.marmiton.org/recettes/recette_creme-au-chocolat-facon-bechamel_41027.aspx,Crème au chocolat façon béchamel,100, g de chocolat noir
http://www.marmiton.org/recettes/recette_creme-au-chocolat-facon-bechamel_41027.aspx,Crème au chocolat façon béchamel,100, g de chocolat au lait
http://www.marmiton.org/recettes/recette_creme-au-chocolat-facon-bechamel_41027.aspx,Crème au chocolat façon béchamel,50, g de farine
http://www.marmiton.org/recettes/recette_creme-au-chocolat-facon-bechamel_41027.aspx,Crème au chocolat façon béchamel,70, g de beurre demi-sel
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,320, g de farine
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,200, g de beurre
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,300, g de sucre
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,4, oeuf
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,11, g de levure chimique
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,7.5, g de sucre vanillé
http://www.marmiton.org/recettes/recette_gaufrettes-extra-fines_24133.aspx,Gaufrettes extra fines,3, cl de rhum
http://www.marmiton.org/recettes/recette_compote-mangue-banane-kiwi_318806.aspx,"Compote mangue, banane & kiwi",1, mangue
http://www.marmiton.org/recettes/recette_compote-mangue-banane-kiwi_318806.aspx,"Compote mangue, banane & kiwi",1, banane
http://www.marmiton.org/recettes/recette_compote-mangue-banane-kiwi_318806.aspx,"Compote mangue, banane & kiwi",2, kiwi
http://www.marmiton.org/recettes/recette_compote-mangue-banane-kiwi_318806.aspx,"Compote mangue, banane & kiwi",1, pincée de cannelle
http://www.marmiton.org/recettes/recette_compote-mangue-banane-kiwi_318806.aspx,"Compote mangue, banane & kiwi",1, cuillère à soupe de sucre roux
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,600, g de crème pâtissière
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,300, g de crème fraîche
